GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1CountryCode,Actor2CountryCode,EventCode,QuadClass,GoldsteinScale,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Type,SOURCEURL
993659940,20210706,WESTERN SAHARA,,MAR,,1822,4,-9.0,-2.4948024948025,25.0,-13.5,1,https://www.aps.dz:443/monde/124581-ould-salek-la-volonte-des-peuples-facteur-determinant-pour-remporter-les-luttes-de-liberation
933007373,20200703,POPULATION,SPAIN,,ESP,192,4,-9.5,-3.69609856262833,25.0,-13.5,1,https://www.equaltimes.org/the-young-sahrawi-refugees
954837247,20201116,MOROCCAN,MOROCCO,MAR,MAR,193,4,-10.0,-3.17460317460317,25.0,-13.5,1,https://sabq.org/xMf2LG
993121039,20210702,MOROCCO,MADRID,MAR,ESP,190,4,-10.0,-3.05676855895196,25.0,-13.5,1,https://www.laprensalatina.com/guterres-urges-political-dialogue-on-western-sahara/
985720023,20210519,WESTERN SAHARA,WESTERN SAHARA,MAR,MAR,190,4,-10.0,-9.62962962962966,25.0,-13.5,1,https://www.reuters.com/article/us-europe-migrants-spain-polisario/spain-high-court-issues-war-crime-case-summons-against-polisario-front-leader-ghali-idUSKCN2D00ZV
973987983,20210311,RABAT,,MAR,,192,4,-9.5,-3.85326318782881,21.2167,-17.0167,4,https://www.crisisgroup.org/middle-east-north-africa/north-africa/western-sahara/b82-time-international-re-engagement-western-sahara
961482858,20201226,MOROCCAN,,MAR,,190,4,-10.0,-1.66666666666666,27.15,-10.9667,4,https://fr.allafrica.com/stories/202012260167.html
975514304,20210320,,WESTERN SAHARA,,MAR,190,4,-10.0,-4.36363636363636,25.0,-13.5,1,https://www.lnr-dz.com/2021/03/20/le-maroc-continue-a-nier-lexistence-dune-guerre/
961066922,20201223,,WESTERN SAHARA,,MAR,190,4,-10.0,-3.41349883630722,21.2167,-17.0167,4,https://www.lifegate.com/western-sahara-war-sahrawi
961097498,20201223,FIGHTER,ARMY,,,190,4,-10.0,-3.21100917431192,25.0,-13.5,1,http://www.elbilad.net/article/detail?id=112200
963164268,20210107,MOROCCO,,MAR,,190,4,-10.0,-7.38577298153557,23.6609,-15.9532,4,https://www.crisisgroup.org/crisiswatch/january-2021-alerts-and-december-trends-2020
954942865,20201118,MOROCCO,,MAR,,193,4,-10.0,-1.60427807486631,25.0,-13.5,1,https://www.alquds.co.uk/%D8%AA%D8%A8%D8%A7%D8%AF%D9%84-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%84%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D8%A7%D8%B1-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%88%D8%A8%D9%88/
957234248,20201201,WESTERN SAHARA,,MAR,,190,4,-10.0,-1.92102454642476,23.6609,-15.9532,4,http://lecourrier-dalgerie.com/abdelaziz-rahabi-aborde-le-conflit-du-sahara-occidental-sur-al-quds-al-arabi-la-solution-definitive-et-permanente-est-une-urgence/
965994550,20210124,REBEL,WESTERN SAHARA,,MAR,194,4,-10.0,-6.38984167569855,21.2167,-17.0167,4,http://www.msn.com/en-us/news/world/w-sahara-rebels-launch-attack-warn-morocco-of-escalation/ar-BB1d2QUk
1057594059,20220807,AMNESTY INTERNATIONAL,WESTERN SAHARA,,MAR,180,4,-9.0,-4.13363533408834,26.1147,-14.3892,4,http://honisoit.com/2022/08/sons-of-the-clouds-oral-tradition-and-resistance-in-africas-last-colony/
915890310,20200401,,WESTERN SAHARA,,MAR,190,4,-10.0,-3.03030303030303,25.0,-13.5,1,https://www.modernghana.com/news/993059/key-polisario-front-figure-mhamed-khadad-dies.html
1014339754,20211115,MOROCCAN,,MAR,,190,4,-10.0,-4.34782608695652,27.4143,-9.04784,4,https://fr.allafrica.com/stories/202111140348.html
1013050863,20211107,ALGERIAN,WESTERN SAHARA,DZA,MAR,190,4,-10.0,-4.65116279069767,25.0,-13.5,1,https://fr.allafrica.com/stories/202111070025.html
1011932805,20211031,MOROCCO,THE UN,MAR,,190,4,-10.0,-3.74531835205992,25.0,-13.5,1,https://mareeg.com/decolonizing-western-sahara/
1010963900,20211025,MOROCCAN,,MAR,,190,4,-10.0,-5.21428571428571,25.0,-13.5,1,https://www.echoroukonline.com/%D8%A8%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D9%86%D8%A7%D8%A9-%D8%B3%D9%88%D9%8A%D8%B3%D8%B1%D9%8A%D8%A9-%D8%AA%D8%A8%D8%AB-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1%D8%A7-%D8%AD%D9%88%D9%84-%D8%AD
1010350042,20211021,MOROCCAN,,MAR,,190,4,-10.0,-5.00736377025037,25.0,-13.5,1,https://www.echoroukonline.com/%D8%B7%D8%A7%D8%A6%D8%B1%D8%A7%D8%AA-%D8%A8%D8%AF%D9%88%D9%86-%D8%B7%D9%8A%D8%A7%D8%B1-%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%AA%D9%82%D8%B5%D9%81-%D9%85%D8%AF%D9%86%D9%8A%D9%8A%D9%86-%D8%B5%D8%AD
1012387812,20211102,WEBSITE,,,,190,4,-10.0,-3.27868852459017,25.0,-13.5,1,https://www.bienpublic.com/science-et-technologie/2021/11/02/facebook-va-arreter-la-reconnaissance-faciale-sur-les-photos-et-supprimer-les-donnees
1002944917,20210907,EUROPEAN PARLIAMENT,MOROCCO,EUR,MAR,190,4,-10.0,2.07715133531158,25.0,-13.5,1,https://www.echoroukonline.com/%D8%B9%D9%85%D8%A7%D8%B1-%D8%A8%D9%84%D8%A7%D9%86%D9%8A-%D8%B9%D9%88%D8%AF%D8%A9-%D8%AA%D8%B2%D8%B9%D8%AC-%D8%A7%D9%84%D9%85%D8%AE%D8%B2%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A
1018779524,20211212,MOROCCO,WESTERN SAHARA,MAR,MAR,190,4,-10.0,-2.25898822780782,21.2167,-17.0167,4,https://allafrica.com/stories/202108310220.html
1022638878,20220110,MOROCCO,,MAR,,1822,4,-9.0,-5.46448087431694,25.0,-13.5,1,https://www.aps.dz/monde/134059-sahara-occidental-amnesty-alerte-sur-le-seuil-dangereux-des-violations-des-droits-de-l-homme
1022211417,20220107,UNITED STATES,IRAQ,USA,IRQ,190,4,-10.0,-3.57698289269052,25.0,-13.5,1,https://www.bozemandailychronicle.com/ap_news/commentary-us-western-sahara-stance-emboldens-putin/article_1eeae970-d4f7-5c3e-aea6-a575bd90e4c0.html
1022119488,20220106,UNITED STATES,IRAQ,USA,IRQ,190,4,-10.0,-3.60065466448446,25.0,-13.5,1,https://progressive.org/op-eds/us-western-sahara-emboldens-putin-zunes-220106/
1016895104,20211130,MOHAMMED VI,WESTERN SAHARA,MAR,MAR,192,4,-9.5,-2.16606498194946,25.0,-13.5,1,https://www.lopinion.fr/international/lalgerie-est-prete-a-faire-la-guerre-au-maroc-sil-le-faut
1043609063,20210510,,INTERIOR MINIST,,,190,4,-10.0,-1.60642570281124,25.0,-13.5,1,https://www.vozpopuli.com/espana/gobierno-evita-senalar-marruecos.html
1035224031,20220322,UNITED STATES,,USA,,1712,4,-9.2,-1.62790697674418,25.0,-13.5,1,"https://pplus.ynet.co.il/articles/0,7340,L-6097545,00.html"
1036302108,20220328,MOROCCO,SPAIN,MAR,ESP,190,4,-10.0,0.23923444976076,25.0,-13.5,1,https://www.euractiv.com/section/politics/news/morocco-germany-renew-ties-after-misunderstandings/
1042621316,20220504,EUROPEAN,WESTERN SAHARA,EUR,MAR,190,4,-10.0,-2.18579234972678,25.0,-13.5,1,https://www.echoroukonline.com/%D8%AC%D9%88%D8%B3%D9%8A%D8%A8-%D8%A8%D9%88%D8%B1%D8%A7%D9%84-%D9%8A%D9%88%D8%AC%D9%91%D9%87-%D8%B5%D9%81%D8%B9%D8%A9-%D9%84%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%88%D8%B3%D8%A7%D9%86%D8%B4%D9%8A
1039169572,20220413,AUTHORITIES,WESTERN SAHARA,,MAR,190,4,-10.0,-5.84104691988509,26.1147,-14.3892,4,https://www.echoroukonline.com/%D8%A3%D9%85%D9%86%D9%8A%D8%B3%D8%AA%D9%8A-%D8%AA%D8%B7%D9%84%D9%82-%D8%AD%D9%85%D8%A9-%D8%A7%D9%84%D9%80-10-%D8%A2%D9%84%D8%A7%D9%81-%D8%AA%D9%88%D9%82%D9%8A%D8%B9-%D9%84%D8%A5%D9%86%D9%87%D8%A7
1034386305,20220317,AUTHORITIES,WESTERN SAHARA,,MAR,190,4,-10.0,-5.3931659118979,26.1147,-14.3892,4,https://www.echoroukonline.com/%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D9%88%D9%86-%D9%8A%D9%83%D8%B3%D8%B1%D9%88%D9%86-%D8%AD%D8%B5%D8%A7%D8%B1-%D8%A7%D9%84%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A-%D8%B9
897342425,20200107,CIVILIAN,,,,190,4,-10.0,-7.64484058964691,26.0928,-10.6089,4,https://www.crisisgroup.org/crisiswatch/crisiswatch-january-2020-alerts-and-december-2019-trends
909306796,20200229,MOROCCAN,,MAR,,180,4,-9.0,-4.7976011994003,25.0,-13.5,1,http://www.aps.dz/monde/102337-l-onu-appelee-a-envoyer-des-commissions-d-enquete-dans-les-zones-sahraouies-occupees
962310393,20210101,MOROCCAN,,MAR,,190,4,-10.0,-2.53164556962025,25.0,-13.5,1,https://fr.allafrica.com/stories/202012310005.html
998709041,20210810,WESTERN SAHARA,,MAR,,190,4,-10.0,-1.49253731343283,25.0,-13.5,1,https://fr.allafrica.com/stories/202108100029.html
962310394,20210101,MOROCCAN,MOROCCO,MAR,MAR,190,4,-10.0,-2.53164556962025,25.0,-13.5,1,https://fr.allafrica.com/stories/202012310005.html
977949050,20210403,PRISON,PROTESTER,,,175,4,-9.0,-12.1890547263681,25.0,-13.5,1,https://english.alaraby.co.uk/english/news/2021/4/2/watchdog-urges-morocco-to-release-jailed-w-sahara-journalist
985968080,20210520,SPAIN,MOROCCO,ESP,MAR,190,4,-10.0,-5.54785020804438,25.0,-13.5,1,https://www.bangkokpost.com/world/2118955/clashes-on-morocco-border-as-madrid-accuses-rabat-of-blackmail
